element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
315,38,19,8,True,2023-09-01T19:00:00Z,1,2,4,90,1,0,0,2,0,0,0,0,0,0,1,24,50.4,0.4,23.0,7.4,1,0.21,0.00,0.21,1.06,40,-4049,57230,1481,5530,1140,1150,1130,4.0,4,-0.07074960684955443,2.0,9.6,10.25,10.25,2.1
316,4,5,0,False,2023-08-12T14:00:00Z,4,1,1,90,0,0,0,4,0,0,0,0,0,0,0,10,21.2,0.7,0.0,2.2,1,0.00,0.00,0.00,4.10,40,0,773157,0,0,1165,1120,1200,2.5,5,0.0,1.6666666666666667,6.866666666666666,7.0,7.0,1.5999999999999999
316,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,14,30.4,0.9,0.0,3.1,1,0.00,0.01,0.01,2.09,40,-43829,709311,15992,59821,1115,1130,1210,2.0,6,-0.06179094924511251,1.5,5.199999999999999,5.45,5.45,1.375
316,38,19,1,True,2023-09-01T19:00:00Z,1,2,4,90,0,0,0,2,0,0,0,0,0,0,0,15,13.8,1.4,0.0,1.5,1,0.00,0.03,0.03,1.06,40,-60354,650293,8086,68440,1140,1150,1130,0.0,0,-0.0928104715874229,0.0,0.0,0.0,0.0,0.0
317,4,5,1,False,2023-08-12T14:00:00Z,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,1.22,50,0,6590,0,0,1165,1120,1200,1.0,1,0.0,0.5,0.0,0.3,0.3,0.0
318,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,76,0,0,0,3,0,0,0,0,0,0,0,9,16.4,10.7,2.0,2.9,1,0.00,0.01,0.01,2.02,40,-220,2999,153,373,1115,1130,1210,1.0,2,-0.07335778592864288,0.6666666666666666,3.6,0.7999999999999999,0.7999999999999999,0.43333333333333335
318,38,19,1,True,2023-09-01T19:00:00Z,1,2,4,90,0,0,0,2,0,0,0,0,0,0,0,13,14.4,11.7,13.0,3.9,1,0.26,0.01,0.27,1.06,40,206,3762,485,279,1140,1150,1130,3.6666666666666665,11,0.05475810738968634,2.75,13.649999999999999,7.574999999999999,7.574999999999999,3.0
321,4,5,0,False,2023-08-12T14:00:00Z,4,1,1,26,0,0,0,3,0,0,0,0,0,0,0,2,1.0,0.3,0.0,0.1,0,0.00,0.02,0.02,2.55,45,0,15179,0,0,1165,1120,1200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
321,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,20,0,0,0,1,0,0,0,0,0,0,0,2,2.4,0.5,2.0,0.5,0,0.00,0.09,0.09,0.57,45,-1295,13058,360,1655,1115,1130,1210,3.0,3,-0.09917292081482616,1.5,0.0,1.9,1.9,0.75
321,38,19,2,True,2023-09-01T19:00:00Z,1,2,4,77,0,0,0,1,0,0,0,0,0,0,0,9,16.2,16.5,6.0,3.9,1,0.02,0.08,0.10,0.86,44,-1056,12293,390,1446,1140,1150,1130,2.5,5,-0.08590254616448385,1.6666666666666667,2.466666666666667,5.3,5.3,2.6
